VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
2,2025-08-01 09:58:51,2025-08-01 10:19:34,1,3.36,1,N,237,249,1,19.1,0.0,0.5,5.96,0.0,1.0,29.81,2.5,0.0,0.75
2,2025-08-01 10:07:49,2025-08-01 10:19:07,3,1.08,1,N,234,224,2,10.7,0.0,0.5,0.0,0.0,1.0,15.45,2.5,0.0,0.75
2,2025-08-01 10:09:31,2025-08-01 10:31:05,4,3.6,1,N,142,166,1,21.9,0.0,0.5,5.33,0.0,1.0,31.98,2.5,0.0,0.75
1,2025-08-01 10:10:14,2025-08-01 10:24:32,1,1.5,99,N,74,74,1,19.5,0.0,0.5,0.0,0.0,0.0,20.0,0.0,0.0,0.0
2,2025-08-01 10:18:08,2025-08-01 10:40:13,1,1.5,1,N,140,161,1,18.4,0.0,0.5,4.63,0.0,1.0,27.78,2.5,0.0,0.75
2,2025-08-01 10:18:14,2025-08-01 10:32:33,1,2.39,1,N,262,142,1,14.9,0.0,0.5,3.93,0.0,1.0,23.58,2.5,0.0,0.75
2,2025-08-01 10:26:40,2025-08-01 10:41:38,1,2.77,1,N,239,170,1,16.3,0.0,0.5,4.21,0.0,1.0,25.26,2.5,0.0,0.75
2,2025-08-01 10:52:25,2025-08-01 11:02:54,1,1.35,1,N,237,236,1,12.1,0.0,0.5,2.0,0.0,1.0,18.1,2.5,0.0,0.0
2,2025-08-01 11:49:05,2025-08-01 11:49:58,1,0.12,1,N,90,90,1,3.0,0.0,0.5,2.33,0.0,1.0,10.08,2.5,0.0,0.75
2,2025-08-01 11:53:57,2025-08-01 12:04:57,2,2.0,1,N,236,24,1,12.1,0.0,0.5,3.22,0.0,1.0,19.32,2.5,0.0,0.0
2,2025-08-01 11:55:10,2025-08-01 12:12:38,1,6.49,1,N,231,233,1,28.9,0.0,0.5,0.0,0.0,1.0,33.65,2.5,0.0,0.75
2,2025-08-01 11:55:14,2025-08-01 12:11:00,1,1.64,1,N,137,114,1,15.6,0.0,0.5,4.07,0.0,1.0,24.42,2.5,0.0,0.75
2,2025-08-01 11:57:14,2025-08-01 12:39:21,2,9.72,5,N,138,186,1,65.0,5.0,0.0,16.24,6.94,1.0,99.18,2.5,1.75,0.75
2,2025-08-01 11:57:17,2025-08-01 12:11:30,2,1.22,1,N,162,164,1,13.5,0.0,0.5,0.0,0.0,1.0,18.25,2.5,0.0,0.75
2,2025-08-01 12:06:12,2025-08-01 12:28:19,1,2.38,1,N,237,186,1,19.8,0.0,0.5,4.91,0.0,1.0,29.46,2.5,0.0,0.75
2,2025-08-01 12:15:13,2025-08-01 12:31:24,1,2.31,1,N,263,161,1,16.3,0.0,0.5,1.05,0.0,1.0,22.1,2.5,0.0,0.75
1,2025-08-01 12:20:48,2025-08-01 12:28:02,1,0.8,1,N,43,236,2,7.9,2.5,0.5,0.0,0.0,1.0,11.9,2.5,0.0,0.0
2,2025-08-01 12:55:24,2025-08-01 13:04:38,1,1.32,1,N,237,161,1,10.7,0.0,0.5,2.0,0.0,1.0,17.45,2.5,0.0,0.75
2,2025-08-01 12:58:11,2025-08-01 13:09:17,2,1.1,1,N,137,107,2,10.7,0.0,0.5,0.0,0.0,1.0,15.45,2.5,0.0,0.75
2,2025-08-01 13:02:02,2025-08-01 13:10:02,1,0.7,1,N,229,161,2,8.6,0.0,0.5,0.0,0.0,1.0,13.35,2.5,0.0,0.75
2,2025-08-01 13:05:06,2025-08-01 13:25:18,1,3.55,1,N,140,234,1,21.2,0.0,0.5,1.0,0.0,1.0,26.95,2.5,0.0,0.75
2,2025-08-01 13:06:17,2025-08-01 13:19:05,1,2.34,1,N,43,163,1,14.9,0.0,0.5,3.93,0.0,1.0,23.58,2.5,0.0,0.75
2,2025-08-01 13:12:45,2025-08-01 13:23:24,1,1.03,1,N,236,237,1,10.7,0.0,0.5,1.0,0.0,1.0,15.7,2.5,0.0,0.0
2,2025-08-01 13:15:46,2025-08-01 13:21:37,1,0.9,1,N,262,236,2,7.2,0.0,0.5,0.0,0.0,1.0,11.2,2.5,0.0,0.0
1,2025-08-01 13:18:02,2025-08-01 13:22:17,1,0.3,1,N,24,151,2,5.8,0.0,0.5,0.0,0.0,1.0,7.3,0.0,0.0,0.0
2,2025-08-01 13:23:09,2025-08-01 13:41:29,1,2.76,1,N,186,143,1,18.4,0.0,0.5,5.79,0.0,1.0,28.94,2.5,0.0,0.75
2,2025-08-01 13:23:30,2025-08-01 13:38:25,2,1.86,1,N,237,143,1,14.9,0.0,0.5,3.93,0.0,1.0,23.58,2.5,0.0,0.75
2,2025-08-01 13:30:31,2025-08-01 13:55:37,6,3.23,1,N,161,144,1,22.6,0.0,0.5,0.0,0.0,1.0,27.35,2.5,0.0,0.75
2,2025-08-01 13:37:58,2025-08-01 13:46:19,2,1.02,1,N,237,236,2,10.0,0.0,0.5,0.0,0.0,1.0,14.0,2.5,0.0,0.0
2,2025-08-01 13:54:38,2025-08-01 14:26:11,1,8.28,1,N,239,220,1,38.0,0.0,0.5,9.04,3.18,1.0,54.22,2.5,0.0,0.0
2,2025-08-01 13:57:30,2025-08-01 14:00:14,1,0.52,1,N,238,151,1,5.1,0.0,0.5,1.0,0.0,1.0,7.6,0.0,0.0,0.0
1,2025-08-01 13:59:09,2025-08-01 14:40:03,1,9.0,99,N,88,42,1,37.5,0.0,0.5,0.0,0.0,0.0,38.0,0.0,0.0,0.0
2,2025-08-01 14:02:12,2025-08-01 14:11:25,3,1.3,1,N,230,163,2,10.0,0.0,0.5,0.0,0.0,1.0,14.75,2.5,0.0,0.75
2,2025-08-01 14:11:18,2025-08-01 14:28:29,1,2.43,1,N,100,211,1,17.0,0.0,0.5,4.35,0.0,1.0,26.1,2.5,0.0,0.75
2,2025-08-01 14:21:01,2025-08-01 14:49:59,3,3.48,1,N,231,230,1,25.4,0.0,0.5,3.0,0.0,1.0,33.15,2.5,0.0,0.75
2,2025-08-01 14:21:42,2025-08-01 14:35:05,1,3.51,1,N,233,236,1,17.7,0.0,0.5,3.0,0.0,1.0,25.45,2.5,0.0,0.75
2,2025-08-01 14:22:25,2025-08-01 14:32:54,1,1.69,1,N,246,142,1,11.4,0.0,0.5,3.0,0.0,1.0,19.15,2.5,0.0,0.75
1,2025-08-01 14:36:41,2025-08-01 15:52:14,1,16.8,2,N,163,132,1,70.0,3.25,0.5,18.7,0.0,1.0,93.45,2.5,0.0,0.75
2,2025-08-01 14:37:51,2025-08-01 15:00:15,1,5.92,1,N,132,134,2,26.1,0.0,0.5,0.0,0.0,1.0,29.35,0.0,1.75,0.0
2,2025-08-01 14:42:36,2025-08-01 14:46:04,1,0.7,1,N,170,162,1,5.8,0.0,0.5,1.9,0.0,1.0,12.45,2.5,0.0,0.75
2,2025-08-01 14:49:31,2025-08-01 14:56:59,1,1.11,1,N,142,163,1,9.3,0.0,0.5,2.81,0.0,1.0,16.86,2.5,0.0,0.75
2,2025-08-01 15:00:42,2025-08-01 15:12:59,2,1.48,1,N,140,263,2,12.8,0.0,0.5,0.0,0.0,1.0,16.8,2.5,0.0,0.0
2,2025-08-01 15:01:52,2025-08-01 15:13:41,1,1.56,1,N,43,163,1,12.8,0.0,0.5,3.51,0.0,1.0,21.06,2.5,0.0,0.75
2,2025-08-01 15:04:55,2025-08-01 15:06:31,1,0.26,1,N,164,164,1,4.4,0.0,0.5,0.0,0.0,1.0,9.15,2.5,0.0,0.75
2,2025-08-01 15:07:16,2025-08-01 15:45:07,2,11.09,1,N,132,138,1,47.1,5.0,0.5,5.0,0.0,1.0,60.35,0.0,1.75,0.0
2,2025-08-01 15:15:11,2025-08-01 16:04:52,1,9.96,1,N,138,114,1,51.3,5.0,0.5,13.6,6.94,1.0,83.34,2.5,1.75,0.75
1,2025-08-01 15:15:40,2025-08-01 15:33:28,1,4.2,1,N,151,233,1,19.1,3.25,0.5,2.0,0.0,1.0,25.85,2.5,0.0,0.75
2,2025-08-01 15:19:09,2025-08-01 15:32:41,1,2.21,1,N,48,141,1,14.2,0.0,0.5,2.0,0.0,1.0,20.95,2.5,0.0,0.75
2,2025-08-01 15:19:09,2025-08-01 15:35:16,1,2.35,1,N,144,170,1,16.3,0.0,0.5,4.21,0.0,1.0,25.26,2.5,0.0,0.75
2,2025-08-01 15:21:30,2025-08-01 15:37:42,1,1.16,1,N,161,48,1,14.9,0.0,0.5,3.93,0.0,1.0,23.58,2.5,0.0,0.75
1,2025-08-01 15:25:44,2025-08-01 15:33:47,1,0.8,1,N,263,75,1,7.9,0.0,0.5,3.0,0.0,1.0,12.4,0.0,0.0,0.0
1,2025-08-01 15:26:21,2025-08-01 15:50:56,1,2.6,1,N,142,236,1,21.2,3.25,0.5,5.2,0.0,1.0,31.15,2.5,0.0,0.75
1,2025-08-01 15:33:55,2025-08-01 15:42:23,1,0.7,1,N,163,142,1,9.3,3.25,0.5,0.0,0.0,1.0,14.05,2.5,0.0,0.75
2,2025-08-01 15:34:15,2025-08-01 15:40:55,1,1.21,1,N,238,142,1,9.3,0.0,0.5,3.33,0.0,1.0,16.63,2.5,0.0,0.0
2,2025-08-01 15:49:55,2025-08-01 16:17:52,1,3.32,1,N,230,144,1,24.7,0.0,0.5,0.0,0.0,1.0,29.45,2.5,0.0,0.75
2,2025-08-01 15:50:50,2025-08-01 16:03:11,1,1.49,1,N,164,161,2,12.1,0.0,0.5,0.0,0.0,1.0,16.85,2.5,0.0,0.75
2,2025-08-01 15:52:07,2025-08-01 16:04:13,1,1.88,1,N,142,161,1,13.5,0.0,0.5,3.65,0.0,1.0,21.9,2.5,0.0,0.75
2,2025-08-01 15:54:15,2025-08-01 16:14:05,1,4.17,1,N,262,107,1,21.2,0.0,0.5,5.19,0.0,1.0,31.14,2.5,0.0,0.75
1,2025-08-01 16:00:56,2025-08-01 16:18:04,2,3.2,1,N,68,13,2,19.1,5.75,0.5,0.0,0.0,1.0,26.35,2.5,0.0,0.75
2,2025-08-01 16:04:15,2025-08-01 16:38:42,1,9.04,1,N,132,95,1,38.7,0.0,0.5,3.0,0.0,1.0,44.95,0.0,1.75,0.0
2,2025-08-01 16:11:33,2025-08-01 16:22:07,1,1.03,1,N,107,186,1,10.7,2.5,0.5,3.59,0.0,1.0,21.54,2.5,0.0,0.75
1,2025-08-01 16:41:37,2025-08-01 17:04:29,1,3.1,1,N,238,100,1,19.1,5.75,0.5,5.25,0.0,1.0,31.6,2.5,0.0,0.75
1,2025-08-01 16:44:08,2025-08-01 17:29:52,1,11.3,1,N,138,106,1,47.8,9.25,0.5,11.7,0.0,1.0,70.25,0.0,1.75,0.0
2,2025-08-01 16:45:05,2025-08-01 16:50:51,1,0.97,1,N,140,263,1,7.2,2.5,0.5,2.74,0.0,1.0,16.44,2.5,0.0,0.0
2,2025-08-01 16:52:51,2025-08-01 16:59:39,1,1.17,1,N,158,246,2,9.3,2.5,0.5,0.0,0.0,1.0,16.55,2.5,0.0,0.75
2,2025-08-01 16:53:35,2025-08-01 17:02:35,2,1.35,1,N,238,142,1,10.7,2.5,0.5,3.44,0.0,1.0,20.64,2.5,0.0,0.0
2,2025-08-01 17:13:47,2025-08-01 17:48:37,2,9.03,1,N,138,238,1,43.6,7.5,0.5,5.0,6.94,1.0,68.79,2.5,1.75,0.0
2,2025-08-01 17:16:49,2025-08-01 17:25:05,1,1.39,1,N,114,186,1,10.0,2.5,0.5,3.45,0.0,1.0,20.7,2.5,0.0,0.75
2,2025-08-01 17:26:51,2025-08-01 17:55:52,1,4.34,1,N,143,148,1,27.5,2.5,0.5,6.95,0.0,1.0,41.7,2.5,0.0,0.75
2,2025-08-01 17:28:50,2025-08-01 17:53:12,1,2.78,1,N,113,162,1,21.2,2.5,0.5,5.69,0.0,1.0,34.14,2.5,0.0,0.75
1,2025-08-01 17:30:28,2025-08-01 17:44:32,1,0.4,99,N,76,76,1,16.5,0.0,0.5,0.0,0.0,0.0,17.0,0.0,0.0,0.0
1,2025-08-01 17:31:02,2025-08-01 17:40:49,1,1.3,1,N,186,113,1,10.0,5.75,0.5,5.2,0.0,1.0,22.45,2.5,0.0,0.75
2,2025-08-01 17:40:47,2025-08-01 17:47:31,1,1.02,1,N,107,170,1,8.6,2.5,0.5,3.17,0.0,1.0,19.02,2.5,0.0,0.75
2,2025-08-01 17:45:51,2025-08-01 17:58:27,1,0.86,1,N,161,163,1,12.1,2.5,0.5,3.87,0.0,1.0,23.22,2.5,0.0,0.75
2,2025-08-01 17:48:48,2025-08-01 17:54:55,1,0.77,1,N,170,48,1,7.2,2.5,0.5,2.89,0.0,1.0,17.34,2.5,0.0,0.75
2,2025-08-01 17:57:11,2025-08-01 18:07:06,1,1.71,1,N,170,79,1,11.4,2.5,0.5,2.0,0.0,1.0,20.65,2.5,0.0,0.75
2,2025-08-01 17:59:31,2025-08-01 18:13:33,1,2.45,1,N,161,75,1,15.6,2.5,0.5,4.57,0.0,1.0,27.42,2.5,0.0,0.75
1,2025-08-01 18:03:24,2025-08-01 18:12:35,1,1.4,1,N,246,50,1,10.7,5.75,0.5,4.5,0.0,1.0,22.45,2.5,0.0,0.75
2,2025-08-01 18:07:47,2025-08-01 18:14:28,1,0.77,1,N,7,260,4,7.9,2.5,0.5,0.0,0.0,1.0,11.9,0.0,0.0,0.0
1,2025-08-01 18:09:38,2025-08-01 18:17:53,1,1.0,1,N,161,170,1,7.9,5.75,0.5,3.03,0.0,1.0,18.18,2.5,0.0,0.75
2,2025-08-01 18:12:16,2025-08-01 18:30:20,1,5.48,1,N,13,143,1,24.7,2.5,0.5,2.5,0.0,1.0,34.45,2.5,0.0,0.75
2,2025-08-01 18:12:38,2025-08-01 18:34:51,1,2.26,1,N,246,107,1,19.8,2.5,0.5,2.0,0.0,1.0,29.05,2.5,0.0,0.75
2,2025-08-01 18:15:41,2025-08-01 18:27:23,1,1.69,1,N,163,143,1,12.1,2.5,0.5,1.94,0.0,1.0,21.29,2.5,0.0,0.75
1,2025-08-01 18:20:35,2025-08-01 18:26:09,1,1.4,1,N,43,239,1,8.6,5.0,0.5,3.0,0.0,1.0,18.1,2.5,0.0,0.0
2,2025-08-01 18:35:45,2025-08-01 19:33:31,1,17.96,2,N,50,132,1,70.0,5.0,0.5,10.0,6.94,1.0,96.69,2.5,0.0,0.75
2,2025-08-01 18:50:13,2025-08-01 19:01:04,1,1.27,1,N,163,141,1,11.4,2.5,0.5,2.0,0.0,1.0,20.65,2.5,0.0,0.75
2,2025-08-01 18:54:25,2025-08-01 19:04:30,1,1.04,1,N,148,144,1,10.7,2.5,0.5,3.59,0.0,1.0,21.54,2.5,0.0,0.75
2,2025-08-01 18:58:50,2025-08-01 19:23:24,1,9.71,1,N,138,49,1,40.1,7.5,0.5,12.28,0.0,1.0,63.13,0.0,1.75,0.0
1,2025-08-01 19:01:14,2025-08-01 19:13:42,1,1.1,1,N,161,186,2,11.4,5.75,0.5,0.0,0.0,1.0,18.65,2.5,0.0,0.75
2,2025-08-01 19:05:42,2025-08-01 19:12:41,2,0.56,1,N,237,237,1,7.9,2.5,0.5,3.6,0.0,1.0,18.0,2.5,0.0,0.0
2,2025-08-01 19:12:44,2025-08-01 19:18:28,1,0.72,1,N,163,162,1,7.2,2.5,0.5,2.89,0.0,1.0,17.34,2.5,0.0,0.75
2,2025-08-01 19:23:01,2025-08-01 19:31:39,2,1.17,1,N,239,236,1,10.0,2.5,0.5,0.0,0.0,1.0,16.5,2.5,0.0,0.0
2,2025-08-01 19:25:06,2025-08-01 19:30:49,1,0.94,1,N,100,68,1,7.2,2.5,0.5,2.89,0.0,1.0,17.34,2.5,0.0,0.75
1,2025-08-01 19:25:55,2025-08-01 19:30:44,1,0.7,1,N,162,229,1,6.5,5.75,0.5,1.5,0.0,1.0,15.25,2.5,0.0,0.75
1,2025-08-01 19:30:44,2025-08-01 19:36:40,2,0.7,1,N,79,144,1,7.2,5.75,0.5,2.85,0.0,1.0,17.3,2.5,0.0,0.75
2,2025-08-01 19:43:45,2025-08-01 19:52:35,1,1.63,1,N,161,141,1,10.7,2.5,0.5,3.59,0.0,1.0,21.54,2.5,0.0,0.75
2,2025-08-01 19:46:11,2025-08-01 20:18:10,2,6.26,1,N,100,80,1,33.8,2.5,0.5,8.21,0.0,1.0,49.26,2.5,0.0,0.75
1,2025-08-01 19:47:05,2025-08-01 19:53:06,1,1.0,1,N,142,48,1,8.6,5.75,0.5,3.15,0.0,1.0,19.0,2.5,0.0,0.75
2,2025-08-01 19:53:19,2025-08-01 19:58:50,1,1.07,1,N,163,236,1,7.9,2.5,0.5,3.03,0.0,1.0,18.18,2.5,0.0,0.75
1,2025-08-01 19:58:12,2025-08-01 20:19:24,2,3.0,1,N,141,234,1,19.8,5.75,0.5,5.41,0.0,1.0,32.46,2.5,0.0,0.75
2,2025-08-01 20:09:03,2025-08-01 21:03:54,1,18.18,2,N,132,142,1,70.0,0.0,0.5,14.95,0.0,1.0,91.45,2.5,1.75,0.75
2,2025-08-01 20:38:23,2025-08-01 20:54:58,1,8.3,1,N,138,126,1,34.5,6.0,0.5,9.79,6.94,1.0,60.48,0.0,1.75,0.0
1,2025-08-01 20:52:59,2025-08-01 20:58:12,1,0.6,1,N,230,161,1,6.5,4.25,0.5,3.05,0.0,1.0,15.3,2.5,0.0,0.75
2,2025-08-01 20:54:21,2025-08-01 21:01:50,1,1.75,1,N,143,162,1,10.0,1.0,0.5,3.0,0.0,1.0,18.75,2.5,0.0,0.75
2,2025-08-01 20:54:48,2025-08-01 21:02:20,1,1.62,1,N,142,236,1,10.0,1.0,0.5,3.75,0.0,1.0,18.75,2.5,0.0,0.0
2,2025-08-01 21:06:31,2025-08-01 21:12:13,1,1.32,1,N,161,236,1,8.6,1.0,0.5,1.5,0.0,1.0,15.85,2.5,0.0,0.75
2,2025-08-01 21:08:54,2025-08-01 21:20:33,1,1.64,1,N,144,107,1,12.1,1.0,0.5,1.0,0.0,1.0,18.85,2.5,0.0,0.75
1,2025-08-01 21:11:04,2025-08-01 21:39:14,1,4.2,99,N,222,61,1,25.5,0.0,0.5,0.0,0.0,0.0,26.0,0.0,0.0,0.0
2,2025-08-01 21:17:20,2025-08-01 21:37:09,1,9.22,1,N,170,244,1,38.0,1.0,0.5,8.75,0.0,1.0,52.5,2.5,0.0,0.75
1,2025-08-01 21:23:46,2025-08-01 21:33:09,2,7.1,1,N,132,10,1,28.2,2.75,0.5,6.45,0.0,1.0,38.9,0.0,1.75,0.0
2,2025-08-01 21:31:49,2025-08-01 21:45:07,1,2.44,1,N,142,263,1,14.9,1.0,0.5,3.98,0.0,1.0,23.88,2.5,0.0,0.0
2,2025-08-01 21:32:39,2025-08-01 21:44:49,2,2.19,1,N,142,236,1,14.2,1.0,0.5,0.96,0.0,1.0,20.16,2.5,0.0,0.0
2,2025-08-01 21:32:43,2025-08-01 22:03:19,1,14.42,1,N,132,179,1,54.8,1.0,0.5,11.46,0.0,1.0,70.51,0.0,1.75,0.0
2,2025-08-01 21:43:23,2025-08-01 21:50:55,1,0.59,1,N,100,163,1,7.9,1.0,0.5,1.0,0.0,1.0,14.65,2.5,0.0,0.75
2,2025-08-01 21:49:28,2025-08-01 22:15:36,1,6.59,1,N,166,234,1,33.8,1.0,0.5,11.64,0.0,1.0,50.44,2.5,0.0,0.0
2,2025-08-01 21:50:43,2025-08-01 21:59:57,1,1.55,1,N,158,107,1,10.0,1.0,0.5,1.89,0.0,1.0,17.64,2.5,0.0,0.75
2,2025-08-01 21:56:54,2025-08-01 22:06:46,1,1.05,1,N,79,148,1,10.0,1.0,0.5,3.15,0.0,1.0,18.9,2.5,0.0,0.75
2,2025-08-01 22:01:42,2025-08-01 22:19:10,1,2.43,1,N,144,186,1,16.3,1.0,0.5,4.41,0.0,1.0,26.46,2.5,0.0,0.75
2,2025-08-01 22:07:08,2025-08-01 22:14:46,1,3.24,1,N,132,216,4,14.2,1.0,0.5,0.0,0.0,1.0,18.45,0.0,1.75,0.0
2,2025-08-01 22:11:26,2025-08-01 22:20:48,1,0.83,1,N,142,161,1,9.3,1.0,0.5,3.0,0.0,1.0,18.05,2.5,0.0,0.75
2,2025-08-01 22:12:06,2025-08-01 22:31:06,2,3.11,1,N,145,17,1,19.1,1.0,0.5,4.32,0.0,1.0,25.92,0.0,0.0,0.0
2,2025-08-01 22:12:53,2025-08-01 22:24:48,1,2.81,1,N,107,141,1,14.2,1.0,0.5,3.99,0.0,1.0,23.94,2.5,0.0,0.75
2,2025-08-01 22:19:11,2025-08-01 22:53:16,2,11.32,1,N,48,69,1,49.9,1.0,0.5,10.0,0.0,1.0,65.65,2.5,0.0,0.75
1,2025-08-01 22:19:13,2025-08-01 22:44:14,1,9.4,1,N,138,151,1,38.7,7.75,0.5,10.0,6.94,1.0,64.89,0.0,1.75,0.0
2,2025-08-01 22:19:58,2025-08-01 22:34:54,1,3.22,1,N,158,87,1,17.7,1.0,0.5,4.69,0.0,1.0,28.14,2.5,0.0,0.75
2,2025-08-01 22:26:41,2025-08-01 22:48:07,1,6.35,1,N,141,116,1,29.6,1.0,0.5,6.0,0.0,1.0,40.6,2.5,0.0,0.0
2,2025-08-01 22:27:43,2025-08-01 22:36:33,2,0.99,1,N,113,249,1,9.3,1.0,0.5,4.51,0.0,1.0,19.56,2.5,0.0,0.75
2,2025-08-01 22:30:52,2025-08-01 22:50:05,2,3.3,1,N,239,233,1,20.5,1.0,0.5,5.25,0.0,1.0,31.5,2.5,0.0,0.75
2,2025-08-01 22:33:18,2025-08-01 22:54:25,5,4.7,1,N,114,142,1,24.7,1.0,0.5,6.09,0.0,1.0,36.54,2.5,0.0,0.75
2,2025-08-01 22:34:51,2025-08-01 22:39:41,1,0.3,1,N,186,68,2,5.8,1.0,0.5,0.0,0.0,1.0,11.55,2.5,0.0,0.75
2,2025-08-01 22:39:16,2025-08-01 23:01:12,1,5.92,1,N,230,41,1,29.6,1.0,0.5,3.54,0.0,1.0,38.89,2.5,0.0,0.75
1,2025-08-01 22:39:53,2025-08-01 23:33:26,1,13.0,1,N,231,41,1,62.5,4.25,0.5,8.0,0.0,1.0,76.25,2.5,0.0,0.75
1,2025-08-01 22:40:08,2025-08-01 22:43:30,3,0.9,1,N,237,236,1,5.8,3.5,0.5,2.15,0.0,1.0,12.95,2.5,0.0,0.0
2,2025-08-01 22:47:27,2025-08-01 23:27:00,1,17.38,2,N,132,107,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
2,2025-08-01 23:15:45,2025-08-01 23:20:51,1,0.83,1,N,140,229,1,6.5,1.0,0.5,2.45,0.0,1.0,14.7,2.5,0.0,0.75
1,2025-08-01 23:24:44,2025-08-01 23:35:31,1,2.6,5,N,144,25,1,21.0,0.75,0.0,5.65,0.0,1.0,28.4,0.0,0.0,0.75
2,2025-08-01 23:26:19,2025-08-01 23:36:04,1,1.01,1,N,232,79,1,10.0,1.0,0.5,3.15,0.0,1.0,18.9,2.5,0.0,0.75
2,2025-08-01 23:29:28,2025-08-01 23:38:35,1,1.35,1,N,238,166,1,10.7,1.0,0.5,3.92,0.0,1.0,19.62,2.5,0.0,0.0
2,2025-08-02 00:30:27,2025-08-02 00:43:33,1,2.1,1,N,246,113,1,13.5,1.0,0.5,1.0,0.0,1.0,20.25,2.5,0.0,0.75
2,2025-08-02 00:48:57,2025-08-02 01:06:31,1,4.86,1,N,144,263,1,22.6,1.0,0.5,4.0,0.0,1.0,32.35,2.5,0.0,0.75
2,2025-08-02 01:05:34,2025-08-02 01:09:42,1,0.77,1,N,158,246,1,6.5,1.0,0.5,0.0,0.0,1.0,12.25,2.5,0.0,0.75
